trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
6935,False,"{'a': 0.1, 'e': 0.031194920559518932}",20,10,11.664968658170954,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
6936,False,"{'a': 0.1, 'e': 0.031179326997954438}",20,9,12.114276415009346,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
6937,False,"{'a': 0.1, 'e': 0.031163741231221842}",20,7,22.68661364420048,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
6938,False,"{'a': 0.1, 'e': 0.03114816325542473}",20,15,-1.2832529280990714,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
6939,False,"{'a': 0.1, 'e': 0.03113259306666858}",20,12,13.946449214001632,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6940,False,"{'a': 0.1, 'e': 0.03111703066106086}",20,8,20.615590741119885,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6941,False,"{'a': 0.1, 'e': 0.03110147603471098}",20,15,11.142880658617294,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
6942,False,"{'a': 0.1, 'e': 0.03108592918373026}",30,16,26.111652737983086,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6943,False,"{'a': 0.1, 'e': 0.031070390104231994}",35,21,21.249006287409134,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6944,False,"{'a': 0.1, 'e': 0.03105485879233143}",20,9,20.387847092635692,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6945,False,"{'a': 0.1, 'e': 0.031039335244145712}",25,17,15.341265625183292,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6946,False,"{'a': 0.1, 'e': 0.031023819455793984}",30,13,18.716093127146568,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
6947,False,"{'a': 0.1, 'e': 0.031008311423397262}",35,21,27.869526367844323,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6948,False,"{'a': 0.1, 'e': 0.03099281114307856}",20,11,8.381144632930964,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
6949,False,"{'a': 0.1, 'e': 0.030977318610962822}",25,9,30.241929974278477,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
6950,False,"{'a': 0.1, 'e': 0.030961833823176882}",25,16,18.57612260956745,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6951,False,"{'a': 0.1, 'e': 0.030946356775849556}",30,19,17.883064268803285,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6952,False,"{'a': 0.1, 'e': 0.030930887465111603}",25,19,12.25306705921896,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6953,False,"{'a': 0.1, 'e': 0.03091542588709566}",30,17,-20.264263358651416,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
6954,False,"{'a': 0.1, 'e': 0.030899972037936367}",20,3,28.133311959023825,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6955,False,"{'a': 0.1, 'e': 0.03088452591377023}",25,13,23.96781172239275,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6956,False,"{'a': 0.1, 'e': 0.03086908751073573}",25,16,16.519719150737394,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6957,False,"{'a': 0.1, 'e': 0.030853656824973284}",25,20,8.442579247859126,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
6958,False,"{'a': 0.1, 'e': 0.030838233852625192}",25,14,19.335763014994665,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6959,False,"{'a': 0.1, 'e': 0.030822818589835724}",20,11,16.525667127363597,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
